call_id,opp_id,owner_id,call_date,duration_minutes,direction,call_type,disposition,num_participants,talk_ratio_rep,longest_monologue_sec,question_count,next_steps_mentioned
1326,346,9,2023-04-18T12:00:00,20,Outbound,Demo,Completed,4,0.88,199,12,True
1327,4455,6,2024-02-01T09:45:00,42,Outbound,QBR,Completed,4,0.67,83,17,False
1328,929,5,2023-05-05T13:00:00,53,Inbound,QBR,Rescheduled,1,,,0,False
1329,1477,15,2024-10-03T12:00:00,33,Outbound,Negotiation,Completed,8,0.44,76,8,True
1330,2006,11,2023-08-08T09:00:00,2,Outbound,Negotiation,Voicemail,1,,,0,False
1331,2579,4,2023-03-10T10:45:00,21,Outbound,Check-In,Completed,4,0.69,200,20,True
1332,2657,6,2024-12-31T10:45:00,25,Outbound,Technical Deep Dive,Rescheduled,1,,,0,False
1333,4754,15,2024-10-25T15:00:00,26,Inbound,Discovery,Completed,8,0.63,208,5,False
1334,2130,10,2022-12-21T11:30:00,49,Inbound,Negotiation,Completed,7,0.76,205,1,True
1335,304,14,2023-09-06T14:45:00,42,Outbound,Negotiation,Completed,2,0.75,159,4,False
1336,3976,15,2022-06-13T12:45:00,16,Outbound,Follow-Up,Completed,4,0.58,78,5,False
1337,3869,13,2024-01-31T08:45:00,41,Inbound,Discovery,Completed,7,0.79,271,6,False
1338,2911,16,2024-07-28T16:30:00,17,Outbound,Technical Deep Dive,Completed,3,0.58,42,5,True
1339,3890,13,2024-06-15T12:00:00,43,Inbound,Technical Deep Dive,Completed,7,0.77,183,13,False
1340,2280,13,2021-12-22T13:30:00,17,Outbound,Discovery,Completed,5,0.69,196,11,False
1341,528,16,2024-12-15T12:30:00,0,Outbound,Demo,No Show,1,,,0,False
1342,2291,13,2022-03-04T14:45:00,19,Outbound,QBR,Completed,5,0.7,153,5,False
1343,4559,1,2024-11-27T14:45:00,26,Inbound,Follow-Up,Rescheduled,1,,,0,False
1344,3642,2,2023-04-29T11:00:00,3,Outbound,QBR,Voicemail,1,,,0,False
1345,156,4,2024-12-16T13:30:00,,Outbound,Negotiation,Completed,3,0.52,54,15,True
1346,1504,11,2022-11-28T15:15:00,18,Inbound,QBR,Completed,2,0.63,52,9,False
1347,982,3,2024-12-04T13:30:00,52,Outbound,Demo,Completed,5,0.79,181,18,True
1348,3830,6,2022-08-06T15:30:00,39,Inbound,Discovery,Completed,7,0.38,210,10,True
1349,4181,9,2023-02-17T11:15:00,44,Inbound,Follow-Up,Completed,8,0.72,191,3,False
1350,2414,16,2024-07-11T11:00:00,34,Inbound,Check-In,Completed,7,0.71,90,11,True
1351,3552,2,2023-08-22T08:45:00,33,Outbound,QBR,Completed,4,0.7,81,9,True
1352,157,3,2024-03-15T09:30:00,44,Outbound,Technical Deep Dive,Completed,2,0.52,101,19,True
1353,2735,4,2021-12-14T15:15:00,37,Inbound,Demo,Completed,3,0.59,121,11,True
1354,1684,5,2024-12-25T11:30:00,1,Outbound,Negotiation,Voicemail,1,,,0,False
1355,4560,7,2024-07-29T10:30:00,35,Inbound,Demo,Completed,2,0.67,93,9,False
1356,210,8,2024-10-16T13:30:00,,Outbound,Check-In,Completed,4,0.58,160,12,True
1357,2891,7,2024-03-21T12:45:00,41,Outbound,QBR,Completed,5,0.38,174,16,False
1358,809,1,2024-12-17T09:30:00,23,Inbound,QBR,Completed,3,0.32,143,8,True
1359,2809,4,2024-07-14T15:45:00,29,Inbound,Check-In,Completed,2,1.25,40,25,True
1360,192,16,2024-06-04T15:45:00,,Outbound,Check-In,Completed,2,0.46,141,12,True
1361,1858,9,2022-01-15T12:00:00,29,Outbound,Discovery,Completed,6,0.39,57,9,False
1362,4250,9,2023-09-19T12:45:00,20,Outbound,Discovery,Completed,7,0.69,235,12,True
1363,1360,3,2024-02-02T08:45:00,53,Outbound,Follow-Up,Completed,4,0.46,172,24,True
1364,77,13,2024-05-15T14:30:00,20,Inbound,Follow-Up,Completed,3,0.76,209,4,False
1365,2068,1,2022-09-10T15:45:00,52,Inbound,Follow-Up,Completed,5,0.53,233,6,True
1366,2255,3,2024-09-24T16:30:00,33,Outbound,Follow-Up,Completed,3,0.6,87,10,False
1367,75,6,2024-10-12T14:30:00,59,Inbound,Discovery,Completed,7,0.66,78,2,False
1368,4526,14,2023-10-06T13:30:00,40,Outbound,Follow-Up,Completed,8,0.5,36,7,True
1369,252,15,2030-06-15T10:00:00,15,Inbound,Negotiation,Completed,3,0.57,175,7,True
1370,2960,10,2024-12-27T12:15:00,45,Outbound,Discovery,Completed,6,0.61,208,9,False
1371,2704,7,2024-03-20T14:00:00,33,Outbound,Discovery,Completed,2,0.42,112,19,False
1372,526,2,2024-10-21T13:30:00,15,Outbound,Demo,Completed,8,0.3,154,27,True
1373,1250,3,2024-12-14T11:15:00,36,Outbound,QBR,Completed,6,0.48,195,20,True
1374,4860,6,2022-12-15T13:30:00,37,Outbound,Check-In,Completed,8,0.7,47,20,True
1375,2898,13,2024-12-16T16:15:00,45,Inbound,Discovery,Completed,2,0.6,185,9,True
1376,4657,2,2023-03-08T14:15:00,52,Inbound,QBR,Completed,5,0.41,34,13,False
1377,125,3,2024-12-21T08:15:00,36,Inbound,Demo,Rescheduled,1,,,0,False
1378,2509,6,2023-03-23T14:00:00,50,Inbound,Follow-Up,Completed,3,0.65,69,15,True
1379,4506,7,2024-06-28T15:00:00,50,Outbound,Technical Deep Dive,Completed,5,0.78,53,8,True
1380,4721,14,2022-09-14T09:30:00,35,Outbound,QBR,Completed,8,0.7,59,10,False
1381,4834,16,2024-12-15T12:45:00,48,Outbound,Demo,Completed,8,0.6,160,5,True
1382,2772,7,2024-12-19T12:30:00,44,Inbound,Discovery,Rescheduled,1,,,0,False
1383,3473,13,2024-03-20T12:45:00,-44,Inbound,Check-In,Rescheduled,1,,,0,False
1384,2210,5,2024-12-04T16:15:00,31,Inbound,Negotiation,Completed,3,0.85,229,3,True
1385,3016,11,2023-07-18T09:45:00,42,Outbound,QBR,Completed,3,0.6,235,12,True
1386,2267,13,2020-06-24T08:00:00,30,Outbound,QBR,Completed,7,0.57,170,7,False
1387,299,14,2023-12-26T12:45:00,41,Outbound,Follow-Up,Completed,6,0.77,209,5,True
1388,2229,7,2024-12-28T15:00:00,27,Inbound,Negotiation,Completed,6,0.61,60,11,False
1389,646,6,2024-12-07T15:00:00,3,Inbound,Follow-Up,Voicemail,1,,,0,False
1390,4493,7,2024-12-20T14:15:00,56,Inbound,Demo,Completed,5,0.69,77,9,True
1391,2698,16,2024-06-24T14:30:00,59,Outbound,Negotiation,Completed,6,1.5,84,12,False
1392,4612,3,2021-08-16T14:45:00,0,Outbound,Negotiation,No Show,1,,,0,False
1393,1058,1,2024-12-18T09:45:00,27,Outbound,Check-In,Completed,5,0.42,178,9,True
1394,1135,3,2024-03-29T10:15:00,60,Inbound,Demo,Completed,8,0.64,128,16,True
1395,2347,6,2024-12-02T15:15:00,57,Inbound,Discovery,Completed,3,0.52,169,16,False
1396,3974,1,2024-08-13T10:30:00,39,Outbound,Follow-Up,Rescheduled,1,,,0,False
1397,2797,13,2022-08-03T13:45:00,0,Outbound,Discovery,No Show,1,,,0,False
1398,2154,9,2024-12-13T14:00:00,21,Inbound,QBR,Completed,6,0.49,143,11,False
1399,3268,11,2024-05-13T10:00:00,43,Outbound,Demo,Completed,3,0.55,162,11,True
1400,2531,4,2024-02-26T13:15:00,0,Outbound,QBR,No Show,1,,,0,False
1401,4936,13,2022-07-17T16:45:00,-58,Inbound,Check-In,Completed,8,0.48,69,9,False
1402,411,12,2024-01-07T15:45:00,23,Inbound,Follow-Up,Completed,5,0.73,88,14,True
1403,2719,8,2030-06-15T10:00:00,,Outbound,Discovery,Completed,7,0.53,56,17,True
1404,1645,15,2024-12-26T16:15:00,31,Inbound,Check-In,Completed,3,0.59,150,8,False
1405,1513,11,2022-05-08T08:15:00,23,Outbound,Check-In,Completed,8,0.47,95,17,False
1406,1729,2,2022-07-21T12:15:00,2,Outbound,Follow-Up,Voicemail,1,,,0,False
1407,759,12,2024-05-04T09:45:00,39,Outbound,Follow-Up,Completed,3,0.41,115,17,False
1408,2093,2,2024-01-13T16:15:00,-26,Outbound,Demo,Completed,6,1.13,262,12,False
1409,3719,3,2024-12-18T15:45:00,35,Inbound,Follow-Up,Completed,6,0.32,222,21,False
1410,4684,6,2022-12-12T12:00:00,22,Outbound,Demo,Completed,5,1.12,77,19,False
1411,4613,2,2022-09-26T09:45:00,17,Outbound,QBR,Completed,6,0.46,49,20,True
1412,197,7,2024-01-26T08:30:00,0,Outbound,Demo,No Show,1,,,0,False
1413,1326,11,2024-10-27T08:00:00,36,Outbound,Follow-Up,Completed,3,0.65,143,11,False
1414,2995,12,2024-06-20T16:15:00,37,Outbound,Follow-Up,Completed,3,0.73,102,10,True
1415,1498,6,2024-01-09T14:45:00,43,Inbound,Technical Deep Dive,Completed,3,0.35,90,12,False
1416,351,8,2024-10-08T08:30:00,53,Outbound,Follow-Up,Completed,4,0.67,230,6,True
1417,2968,4,2024-12-26T13:45:00,30,Outbound,Check-In,Completed,8,0.42,159,22,False
1418,994,1,2024-01-05T10:15:00,43,Outbound,Check-In,Completed,5,0.4,152,21,False
1419,1909,11,2022-07-21T10:30:00,35,Outbound,Follow-Up,Completed,4,0.51,115,12,False
1420,2138,6,2024-12-04T14:30:00,0,Outbound,Discovery,No Show,1,,,0,False
1421,569,7,2024-03-09T10:00:00,3,Inbound,Follow-Up,Voicemail,1,,,0,False
1422,4169,4,2022-04-24T13:15:00,25,Outbound,Check-In,Completed,4,0.8,244,14,False
1423,4498,5,2024-12-16T09:00:00,59,Inbound,Follow-Up,Completed,4,0.65,195,4,False
1424,3899,2,2024-12-08T15:00:00,0,Outbound,Discovery,No Show,1,,,0,False
1425,3189,13,2024-12-11T11:15:00,31,Outbound,Demo,Completed,4,0.81,103,1,False
1426,106,11,2022-06-03T12:15:00,47,Outbound,QBR,Completed,5,0.44,153,9,False
1427,2817,13,2024-12-06T12:45:00,16,Inbound,Technical Deep Dive,Completed,3,0.63,51,2,False
1428,2446,8,2024-11-19T09:30:00,31,Outbound,Check-In,Completed,3,0.43,96,12,False
1429,4489,4,2024-12-08T13:15:00,33,Outbound,QBR,Completed,4,0.66,50,12,False
1430,346,14,2023-11-14T13:30:00,46,Outbound,QBR,Completed,6,0.77,59,14,False
1431,1930,12,2023-12-09T13:00:00,23,Outbound,Follow-Up,Completed,4,0.58,240,10,False
1432,537,16,2024-12-30T08:30:00,44,Outbound,Check-In,Completed,4,0.42,112,19,True
1433,1657,1,2021-05-20T17:00:00,60,Inbound,Demo,Completed,6,0.49,175,24,True
1434,1450,5,2024-12-07T08:00:00,0,Outbound,QBR,No Show,1,,,0,False
1435,1927,2,2024-02-08T14:15:00,47,Outbound,Negotiation,Completed,7,0.5,214,19,False
1436,2795,3,2024-12-10T10:15:00,54,Inbound,Discovery,Completed,8,1.34,287,15,True
1437,2553,5,2024-12-15T12:45:00,47,Outbound,Check-In,Completed,5,0.37,139,9,False
1438,606,14,2024-06-16T10:30:00,15,Outbound,Technical Deep Dive,Completed,8,0.62,240,12,False
1439,866,9,2024-12-29T14:15:00,24,Outbound,QBR,Rescheduled,1,,,0,False
1440,131,3,2024-07-19T11:15:00,3,Inbound,Discovery,Voicemail,1,,,0,False
1441,3723,1,2024-02-05T09:15:00,36,Outbound,QBR,Completed,4,0.27,81,24,True
1442,53,6,2022-10-31T16:00:00,35,Outbound,Demo,Completed,3,0.68,132,19,True
1443,1575,12,2024-04-30T13:30:00,42,Inbound,Negotiation,Completed,3,0.62,50,18,True
1444,1980,9,2024-06-11T16:45:00,22,Outbound,QBR,Completed,3,0.45,181,15,True
1445,967,7,2024-08-07T10:00:00,27,Outbound,Check-In,Completed,8,0.55,56,15,True
1446,4019,4,2024-04-19T16:15:00,23,Outbound,Check-In,Rescheduled,1,,,0,False
1447,1775,3,2022-12-05T13:00:00,51,Inbound,Technical Deep Dive,Rescheduled,1,,,0,False
1448,2134,3,2024-09-01T10:45:00,22,Inbound,Follow-Up,Completed,5,0.58,205,4,False
1449,599,14,2024-08-26T14:15:00,49,Outbound,Check-In,Completed,4,0.46,179,4,True
1450,1178,11,2023-02-02T14:00:00,0,Outbound,Demo,No Show,1,,,0,False
1451,953,13,2024-06-15T12:45:00,31,Outbound,QBR,Rescheduled,1,,,0,False
1452,3816,8,2024-12-19T09:00:00,0,Outbound,Discovery,No Show,1,,,0,False
1453,4544,9,2022-06-21T16:45:00,60,Inbound,QBR,Rescheduled,1,,,0,False
1454,598,13,2030-06-15T10:00:00,18,Outbound,Technical Deep Dive,Completed,6,0.64,41,2,True
1455,2672,9,2022-02-21T16:15:00,60,Outbound,Follow-Up,Completed,2,0.42,157,11,False
1456,3999,13,2022-02-05T13:30:00,0,Outbound,Technical Deep Dive,No Show,1,,,0,False
1457,3802,11,2023-11-29T10:45:00,46,Outbound,Check-In,Completed,8,0.68,111,17,True
1458,262,5,2024-11-24T16:45:00,3,Outbound,Discovery,Voicemail,1,,,0,False
1459,3697,15,2024-10-05T10:15:00,18,Outbound,QBR,Rescheduled,1,,,0,False
1460,3193,15,2024-05-23T12:00:00,34,Inbound,Check-In,Completed,2,0.61,219,8,False
1461,785,14,2023-03-28T11:45:00,34,Outbound,Technical Deep Dive,Completed,3,0.65,78,5,False
1462,661,10,2023-10-13T14:45:00,56,Inbound,Check-In,Completed,3,0.55,90,12,False
1463,705,12,2024-02-02T14:45:00,30,Outbound,Negotiation,Completed,3,0.58,235,10,True
1464,4587,15,2024-12-01T08:30:00,55,Outbound,Demo,Rescheduled,1,,,0,False
1465,4319,1,2021-08-21T16:45:00,34,Outbound,Technical Deep Dive,Completed,3,0.48,109,6,True
1466,2082,2,2024-12-29T14:30:00,49,Outbound,Technical Deep Dive,Completed,7,0.64,198,10,False
1467,1966,14,2023-12-19T13:45:00,,Inbound,Check-In,Voicemail,1,,,0,False
1468,4873,10,2023-06-07T14:15:00,30,Outbound,Negotiation,Completed,6,0.7,60,6,True
1469,1066,16,2024-05-30T08:30:00,19,Outbound,Technical Deep Dive,Completed,7,0.79,133,8,False
1470,2407,16,2020-05-27T14:00:00,36,Inbound,Technical Deep Dive,Completed,4,0.65,81,5,False
1471,2211,12,2024-12-25T14:30:00,0,Inbound,Follow-Up,No Show,1,,,0,False
1472,576,9,2022-10-17T16:15:00,59,Outbound,Technical Deep Dive,Completed,6,0.71,81,2,False
1473,1666,16,2024-06-05T10:00:00,29,Outbound,QBR,Completed,8,0.64,80,5,True
1474,4467,9,2021-08-12T15:00:00,38,Outbound,QBR,Rescheduled,1,,,0,False
1475,365,13,2024-04-10T12:00:00,34,Inbound,Negotiation,Completed,8,0.8,172,8,False
1476,4251,8,2024-03-01T15:45:00,42,Outbound,QBR,Rescheduled,1,,,0,False
1477,4925,2,2024-07-13T12:00:00,3,Outbound,Check-In,Voicemail,1,,,0,False
1478,697,4,2024-01-24T15:00:00,38,Inbound,Check-In,Completed,4,0.65,192,12,True
1479,29,15,2024-12-28T10:15:00,37,Inbound,Check-In,Rescheduled,1,,,0,False
1480,574,12,2024-04-01T11:30:00,24,Outbound,Demo,Completed,5,0.87,235,9,False
1481,3067,16,2024-09-02T15:45:00,35,Outbound,Check-In,Completed,2,0.62,149,4,False
1482,4799,2,2020-10-08T14:45:00,0,Outbound,Discovery,No Show,1,,,0,False
1483,2535,14,2024-06-08T11:15:00,20,Outbound,Follow-Up,Rescheduled,1,,,0,False
1484,1189,1,2024-09-15T16:00:00,58,Inbound,Negotiation,Completed,6,0.51,176,8,True
1485,4682,3,2024-05-16T13:15:00,21,Outbound,Check-In,Completed,7,0.46,219,13,False
1486,2528,11,2022-07-14T14:45:00,18,Outbound,Technical Deep Dive,Completed,2,0.66,45,8,False
1487,4994,7,2021-12-28T13:45:00,32,Outbound,Demo,Completed,5,0.45,85,24,True
1488,1559,14,2022-05-03T17:45:00,48,Inbound,Follow-Up,Completed,4,0.53,221,5,False
1489,3156,3,2024-06-28T13:00:00,20,Outbound,Demo,Completed,2,0.45,93,8,False
1490,4044,7,2024-07-07T13:30:00,51,Outbound,Demo,Completed,3,0.61,225,9,True
1491,596,2,2024-07-10T13:45:00,31,Outbound,Check-In,Rescheduled,1,,,0,False
1492,2337,4,2024-12-31T14:00:00,28,Inbound,Negotiation,Completed,3,0.47,133,14,False
1493,1898,16,2024-11-20T12:45:00,27,Inbound,Follow-Up,Completed,7,0.79,36,12,True
1494,1073,10,2022-01-15T10:15:00,48,Outbound,Demo,Completed,4,0.58,196,7,False
1495,1772,7,2024-12-16T10:30:00,22,Outbound,Negotiation,Completed,5,0.3,106,9,True
1496,1769,9,2024-07-22T15:30:00,23,Outbound,Check-In,Completed,3,0.65,179,9,False
1497,2128,1,2023-07-19T12:30:00,16,Outbound,Demo,Rescheduled,1,,,0,False
1498,2505,11,2024-04-10T09:00:00,23,Inbound,Check-In,Rescheduled,1,,,0,False
1499,1897,11,2023-01-09T09:45:00,1,Inbound,Follow-Up,Voicemail,1,,,0,False
1500,2743,14,2024-08-05T15:30:00,0,Inbound,Negotiation,No Show,1,,,0,False
1501,1961,12,2024-06-02T09:00:00,0,Outbound,QBR,No Show,1,,,0,False
1502,1664,8,2023-04-22T10:45:00,52,Outbound,Demo,Completed,8,0.56,136,15,False
1503,2111,16,2024-06-30T10:30:00,19,Inbound,Demo,Completed,8,0.73,88,1,False
1504,2185,16,2021-01-21T17:15:00,46,Outbound,Technical Deep Dive,Completed,2,0.53,207,4,True
1505,2062,7,2024-10-21T14:00:00,31,Inbound,Follow-Up,Completed,8,0.6,218,7,True
1506,4778,5,2024-02-11T15:30:00,58,Outbound,Negotiation,Rescheduled,1,,,0,False
1507,1715,10,2024-03-08T14:45:00,43,Inbound,Discovery,Completed,8,0.45,232,7,True
1508,4160,3,2022-04-14T15:30:00,57,Inbound,Check-In,Completed,6,0.44,54,12,True
1509,2355,10,2024-09-01T12:00:00,36,Inbound,Follow-Up,Completed,5,0.65,225,8,False
1510,4493,7,2024-12-13T12:00:00,17,Outbound,Negotiation,Completed,6,0.7,85,20,True
1511,432,13,2022-08-17T13:45:00,29,Outbound,Follow-Up,Completed,2,0.57,168,6,False
1512,4839,7,2023-12-22T14:15:00,43,Inbound,Check-In,Completed,4,0.66,115,8,False
1513,4375,3,2022-05-24T14:00:00,-49,Inbound,Negotiation,Completed,4,0.41,81,10,False
1514,4244,2,2024-05-05T13:45:00,25,Outbound,Discovery,Completed,2,0.35,223,24,True
1515,160,5,2023-03-12T15:00:00,44,Outbound,Discovery,Completed,6,0.52,156,8,True
1516,984,15,2024-09-18T13:15:00,55,Inbound,Check-In,Completed,2,0.74,64,11,True
1517,4154,12,2023-04-27T10:00:00,3,Inbound,Negotiation,Voicemail,1,,,0,False
1518,4057,3,2021-01-24T15:15:00,21,Outbound,Check-In,Completed,5,0.46,84,16,False
1519,3026,7,2023-08-21T09:30:00,23,Inbound,Check-In,Completed,8,0.47,78,13,True
1520,2794,14,2023-12-23T10:45:00,51,Outbound,Demo,Completed,5,0.56,228,2,False
1521,4669,5,2024-06-20T10:00:00,3,Outbound,Follow-Up,Voicemail,1,,,0,False
1522,3060,3,2024-04-26T11:45:00,32,Outbound,Follow-Up,Completed,5,0.6,68,20,True
1523,928,7,2024-09-09T15:15:00,30,Inbound,Technical Deep Dive,Completed,5,0.49,102,17,False
1524,1986,7,2024-08-09T08:15:00,41,Outbound,Negotiation,Completed,4,0.51,72,11,True
1525,994,9,2023-09-08T13:45:00,33,Outbound,Negotiation,Completed,5,0.54,151,8,True
1526,4005,15,2022-07-04T12:15:00,34,Inbound,Negotiation,Completed,6,1.48,102,12,False
1527,4573,14,2030-06-15T10:00:00,15,Outbound,Check-In,Completed,2,0.75,207,1,False
1528,4993,9,2022-08-26T17:00:00,30,Inbound,Negotiation,Completed,3,1.24,263,8,True
1529,3198,12,2024-02-24T11:30:00,0,Inbound,Technical Deep Dive,No Show,1,,,0,False
1530,970,2,2023-03-12T12:15:00,0,Inbound,Demo,No Show,1,,,0,False
1531,450,12,2024-10-10T11:30:00,31,Outbound,Technical Deep Dive,Completed,7,0.61,63,12,False
1532,1443,1,2024-08-18T13:30:00,15,Outbound,Negotiation,Rescheduled,1,,,0,False
1533,472,8,2024-10-12T15:15:00,2,Outbound,Technical Deep Dive,Voicemail,1,,,0,False
1534,2984,14,2030-06-15T10:00:00,37,Outbound,Negotiation,Completed,2,0.57,171,12,False
1535,745,6,2023-03-13T13:15:00,-22,Inbound,Check-In,Completed,2,0.41,65,16,False
1536,2461,12,2023-08-12T08:15:00,45,Inbound,QBR,Completed,4,0.54,235,17,False
1537,4914,5,2024-07-01T12:30:00,20,Outbound,Technical Deep Dive,Completed,5,0.53,176,10,False
1538,2696,7,2023-11-27T13:30:00,24,Outbound,Discovery,Completed,6,0.46,151,10,True
1539,1729,2,2022-09-06T12:30:00,37,Outbound,Demo,Completed,6,0.39,198,13,False
1540,4260,6,2024-10-05T14:45:00,16,Outbound,Check-In,Completed,7,0.65,40,20,True
1541,553,8,2020-12-29T16:30:00,29,Outbound,Demo,Completed,2,0.48,159,17,False
1542,1013,7,2024-11-04T09:00:00,32,Outbound,Discovery,Completed,5,0.41,221,6,True
1543,2209,1,2024-02-28T09:30:00,28,Outbound,Technical Deep Dive,Rescheduled,1,,,0,False
1544,2968,4,2024-12-21T08:15:00,0,Inbound,QBR,No Show,1,,,0,False
1545,1474,6,2023-11-29T17:15:00,46,Outbound,Check-In,Rescheduled,1,,,0,False
1546,1712,14,2024-05-06T10:15:00,50,Outbound,Discovery,Completed,8,0.49,49,11,True
1547,3027,14,2022-03-24T15:30:00,39,Inbound,Negotiation,Rescheduled,1,,,0,False
1548,2192,16,2030-06-15T10:00:00,42,Inbound,Technical Deep Dive,Completed,7,0.7,68,14,False
1549,132,16,2024-11-04T10:30:00,34,Outbound,Follow-Up,Completed,7,0.85,40,10,False
1550,2080,16,2024-12-02T13:30:00,31,Inbound,QBR,Completed,5,0.61,68,4,True
1551,2997,9,2024-12-29T15:00:00,18,Outbound,Discovery,Completed,4,0.6,67,6,False
1552,4070,3,2023-07-02T09:30:00,33,Inbound,QBR,Completed,4,0.48,174,21,False
1553,4684,6,2023-02-09T12:45:00,43,Outbound,QBR,Completed,7,0.5,80,7,False
1554,821,4,2024-12-10T09:45:00,41,Inbound,Follow-Up,Completed,7,0.43,52,17,True
1555,2426,5,2021-05-30T15:00:00,0,Outbound,Technical Deep Dive,No Show,1,,,0,False
1556,4546,14,2024-10-18T12:00:00,15,Outbound,Discovery,Completed,3,0.67,197,4,False
1557,3371,7,2021-05-06T10:30:00,23,Inbound,QBR,Completed,4,0.5,263,8,False
1558,1960,13,2023-08-04T13:30:00,33,Outbound,Demo,Completed,6,0.73,233,5,False
1559,118,9,2024-02-11T15:45:00,24,Outbound,QBR,Completed,8,0.44,40,11,True
1560,3563,10,2024-12-04T11:30:00,16,Outbound,Check-In,Completed,8,0.54,103,9,True
1561,884,2,2024-11-06T10:45:00,25,Outbound,Demo,Completed,4,0.3,213,24,True
1562,3602,12,2024-12-02T13:30:00,55,Outbound,Technical Deep Dive,Completed,6,0.6,119,2,False
1563,3044,11,2023-07-29T14:15:00,26,Outbound,Follow-Up,Completed,7,0.56,67,9,False
1564,3787,8,2024-12-21T13:15:00,0,Outbound,Check-In,No Show,1,,,0,False
1565,2682,6,2022-01-16T15:15:00,46,Outbound,Technical Deep Dive,Completed,8,0.7,149,4,True
1566,1972,11,2023-12-18T11:15:00,0,Outbound,Technical Deep Dive,No Show,1,,,0,False
1567,4903,2,2022-10-26T14:45:00,3,Inbound,Discovery,Voicemail,1,,,0,False
1568,4077,11,2022-09-22T12:45:00,18,Inbound,Technical Deep Dive,Completed,4,0.66,40,13,True
1569,1342,7,2024-06-02T13:45:00,47,Outbound,Demo,Completed,5,0.68,134,2,False
1570,3256,1,2024-08-21T13:15:00,43,Outbound,Technical Deep Dive,Rescheduled,1,,,0,False
1571,517,9,2023-05-08T16:00:00,32,Outbound,Negotiation,Completed,2,0.6,294,10,False
1572,4980,14,2030-06-15T10:00:00,,Outbound,Check-In,Completed,6,0.48,136,2,False
1573,1749,16,2024-07-26T11:15:00,41,Outbound,Negotiation,Completed,2,0.57,69,13,False
1574,3937,16,2024-12-19T12:00:00,51,Inbound,Check-In,Completed,5,0.48,96,4,False
1575,1865,5,2024-12-14T11:30:00,26,Inbound,Check-In,Completed,7,0.71,196,6,False
1576,225,15,2030-06-15T10:00:00,55,Outbound,Discovery,Completed,2,0.61,151,4,False
1577,1026,4,2023-12-20T12:00:00,33,Outbound,QBR,Completed,7,0.59,101,4,False
1578,2174,10,2024-12-28T16:15:00,46,Outbound,Check-In,Completed,5,0.42,213,11,True
1579,3717,7,2024-05-16T14:15:00,0,Outbound,QBR,No Show,1,,,0,False
1580,3126,7,2024-09-23T14:15:00,17,Outbound,Check-In,Completed,7,0.63,249,8,False
1581,2659,6,2024-11-30T11:30:00,59,Outbound,Check-In,Completed,8,0.52,52,14,True
1582,3578,4,2022-02-23T12:30:00,-42,Inbound,Negotiation,Completed,8,0.63,140,7,True
1583,4671,7,2020-12-26T11:00:00,18,Outbound,Negotiation,Completed,6,0.69,133,5,True
1584,604,16,2030-06-15T10:00:00,3,Outbound,QBR,Voicemail,1,,,0,False
1585,5000,7,2024-07-30T12:00:00,43,Inbound,Follow-Up,Rescheduled,1,,,0,False
1586,284,3,2021-03-09T12:45:00,55,Outbound,QBR,Rescheduled,1,,,0,False
1587,4801,4,2023-07-09T10:00:00,0,Inbound,Discovery,No Show,1,,,0,False
1588,4653,6,2023-10-03T10:00:00,0,Outbound,Technical Deep Dive,No Show,1,,,0,False
1589,2782,16,2024-12-21T13:15:00,35,Outbound,Follow-Up,Completed,5,0.7,201,14,True
1590,1534,13,2024-10-06T15:00:00,55,Inbound,Negotiation,Completed,5,0.51,80,11,False
1591,1194,2,2023-04-03T11:15:00,45,Inbound,Negotiation,Completed,5,0.55,78,4,True
1592,1375,9,2024-12-20T11:15:00,0,Outbound,Technical Deep Dive,No Show,1,,,0,False
1593,3344,5,2024-11-30T09:45:00,59,Outbound,Negotiation,Completed,4,0.44,34,15,False
1594,983,16,2024-09-18T12:15:00,,Outbound,Demo,Completed,2,0.57,69,8,False
1595,2625,14,2023-09-05T16:15:00,54,Outbound,Technical Deep Dive,Completed,3,1.33,296,9,False
1596,4172,16,2023-08-30T14:00:00,24,Inbound,Technical Deep Dive,Rescheduled,1,,,0,False
1597,3083,3,2023-11-25T14:45:00,0,Outbound,QBR,No Show,1,,,0,False
1598,3629,9,2024-06-16T10:15:00,40,Outbound,Negotiation,Completed,2,0.63,134,17,True
1599,642,5,2023-02-17T15:00:00,56,Outbound,QBR,Completed,6,0.81,59,15,True
1600,3400,4,2023-08-01T11:30:00,49,Inbound,Demo,Completed,6,0.53,143,7,False
1601,842,5,2024-04-03T10:30:00,,Inbound,Check-In,Completed,4,0.7,299,5,False
1602,3304,3,2024-10-22T14:45:00,46,Outbound,Negotiation,Completed,8,0.56,74,4,False
1603,3401,13,2024-08-21T14:45:00,31,Outbound,Negotiation,Completed,8,0.75,227,5,False
1604,4443,15,2024-12-29T14:00:00,46,Inbound,QBR,Completed,5,0.51,102,4,True
1605,280,2,2024-12-06T15:45:00,49,Outbound,Follow-Up,Completed,8,0.66,38,3,False
1606,3601,12,2024-12-31T15:00:00,30,Inbound,Follow-Up,Completed,7,0.79,217,9,False
1607,763,13,2021-06-10T12:30:00,18,Outbound,Check-In,Completed,4,0.61,211,4,True
1608,2085,12,2024-04-19T12:30:00,53,Outbound,Discovery,Completed,6,0.54,155,9,False
1609,4054,11,2022-04-26T17:45:00,43,Inbound,Demo,Completed,6,0.62,161,5,True
